uid,title,slug,alias,published date,all tags,publish,make discoverable,is page,content,canonical url,meta description,meta image,lang,class name,first published at
EqTWJujZaKDmWMfMYxIV,🍿 Inside (★​★★​☆☆),inside,2025/05/24/inside,2025-05-23T22:00:00+00:00,"[""blog"", ""popcornfieber""]",True,True,False,"![Auto-generated description: Ein Mann in Bademantel und Hausschuhen steht in einem modernen Gebäude vor großen Fenstern mit Blick auf die Stadt, darunter der Titel Inside und der Name Willem Dafoe.](https://bear-images.sfo2.cdn.digitaloceanspaces.com/fischr/mv5bywjky2i3nwqtywzimc00mjfjlwiyogi.webp)

[Inside](https://de.wikipedia.org/wiki/Inside_(2023)) ist eines dieser Kammerspiele, bei denen jemand irgendwo festsitzt und wieder raus will, in diesem Fall [Willem Dafoe](https://de.wikipedia.org/wiki/Willem_Dafoe) als Kunstdieb, der in einem luxuriösen Apartment eingeschlossen ist. Die Story selbst ist eher dünn und zieht sich wie ein ausgelutschter Kaugummi. Viel passiert nicht, außer dass die Isolation langsam am Verstand nagt.

Aber Dafoe liefert. Allein für seine intensive One-Man-Show lohnt sich der Film, vorausgesetzt man hat die Geduld. War eigentlich [ein idealer Film fürs Flugzeug](/jungfernflug-nach-hause/): keine Ablenkung, keine Fluchtmöglichkeit, und man ist auch irgendwie gefangen. Passt also thematisch. Zuhause würde man vermutlich irgendwann aufs Smartphone schauen und dabei das sagenhafte Schauspiel von Dafoe verpassen. Wahrscheinlich nur für Fans von Dafoe oder experimentellem Slow-Cinema ein Muss.",,,https://bear-images.sfo2.cdn.digitaloceanspaces.com/fischr/mv5bywjky2i3nwqtywzimc00mjfjlwiyogi.webp,de,,2025-05-23T22:00:00+00:00
qhBMoteIStmFJxzCcMxW,🍿 Schwanengesang (★★☆☆☆),schwanengesang,2025/05/25/schwanengesang-schn-gefilmt-toller-cast,2025-05-24T22:00:00+00:00,"[""blog"", ""popcornfieber""]",True,True,False,"![Ein halb realistisches, halb skizzenhaftes Porträt eines Mannes ist auf dem Cover des Films Schwanengesang zu sehen.](https://bear-images.sfo2.cdn.digitaloceanspaces.com/fischr/9720dj0ap54k7x91ef56qekqbettdvd4.webp)

Schön gefilmt, toller Cast, aber leider eher ein Entlein als ein Schwan. Die okaye Story dümpelt so dahin, die große emotionale Wucht bleibt aus, und am Ende fragt man sich, ob’s das jetzt schon war. Für einen verregneten Sonntagnachmittag okay, aber mehr leider auch nicht.",,,https://bear-images.sfo2.cdn.digitaloceanspaces.com/fischr/9720dj0ap54k7x91ef56qekqbettdvd4.webp,de,,2025-05-24T22:00:00+00:00
BuhhScpJkrxJNJLyJmFm,Die Küche bleibt kalt,die-kuche-bleibt-kalt,2025/05/28/die-kche-bleibt-kalt,2025-05-27T22:00:00+00:00,"[""blog"", ""faktenwissen""]",True,True,False,"Ich gebe zu, beim Thema Licht bin ich ein bisschen fanatisch. Ich habe schon einige hitzige Diskussionen mit meiner Frau über die Anzahl der verschiedenen Lichtquellen in unserem Haus geführt. Aber ich bin felsenfest davon überzeugt, dass vielseitiges Licht für unterschiedliche Stimmungen, Situationen und Tageszeiten [der entscheidende Faktor für das Wohlbefinden](https://www.rieste.com/a/wirkung-lichtfarbe-mensch) in den eigenen vier Wänden ist.

Wenn ich abends durch die Straße gehe, schaue ich gern in erleuchtete Fenster. Nicht weil ich wissen will, was hinter den Gardinen passiert, sondern weil mich interessiert, unter welchem Licht Menschen essen oder auf der Couch entspannen. In der Nachbarschaft gibt es ein paar Fenster, die mir jedes Mal OP-Saal-Vibes verpassen: kaltes, grelles Licht direkt von oben. Ich würde wahnsinnig werden.

Kein Wunder also, dass mir [dieses Video](https://www.youtube.com/watch?v=mMDuDCXtxos) sofort gefallen hat: Ein unterhaltsam-nerdiger Blick auf die Welt der Lichtfarben, und darauf, wie LEDs möglicherweise dazu geführt haben, dass plötzlich weiße Küchen im Trend sind.

<iframe width=""560"" height=""315"" src=""https://www.youtube-nocookie.com/embed/mMDuDCXtxos?si=h4ERapFAh7BLqNjc"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>

Oder anders gesagt: Wenn du in deiner Küche plötzlich das Gefühl hast, dringend streichen zu müssen, mehr Aufbewahrungsboxen brauchst oder das Chaos klinisch ordnen willst, hast du sie wohl aus Versehen in eine [Genius Bar](https://en.wikipedia.org/wiki/Genius_Bar) verwandelt. Gönn deinem Nervensystem dann doch einfach mal ein bisschen 2.700-Kelvin-Glühbirnenromantik.",,,https://bear-images.sfo2.cdn.digitaloceanspaces.com/fischr/photo-1592634549335-f6be8df97b47.webp,de,,2025-05-27T22:00:00+00:00
LAiNJvgoevgCMEiSSNuH,Bremer Dächer,bremer-dacher,2025/05/26/rathaus-bremen-dcher-whrend-meiner,2025-05-25T22:00:00+00:00,"[""fotos"", ""fotovorschlag""]",True,True,False,"![Marktplatz von Bremen im Morgengrauen. Blick über die Bremer Stadtmusikanten hin zum Deutschen Haus.](https://bear-images.sfo2.cdn.digitaloceanspaces.com/fischr/image-20250526-142115-155d7cdb.webp)

Dächer: Während meiner beruflichen Zeit in Bremen bin ich unzählige Male über den Marktplatz gegangen und habe die Dächer bestaunt. Dieses Foto ist im September 2021 auf meinem morgendlichen Weg ins Büro entstanden. [📍](https://www.openstreetmap.org/?mlat=53.076267&mlon=8.807603)
",,,https://bear-images.sfo2.cdn.digitaloceanspaces.com/fischr/image-20250526-142115-155d7cdb.webp,de,,2025-05-25T22:00:00+00:00
BpRohAfZCPyqfvgKCNJA,Papa-Humor,papa-humor,2025/05/29/ich-glaube-da-steckt-eine,2025-05-28T22:00:00+00:00,"[""fotos""]",True,False,False,"![Handgeschriebene Vatertagskarte auf strukturiertem Papier mit einem kleinen rosa Glücksschweinchen und einem runden Magneten darauf. Die Nachricht lautet: „Ich schenke dir ein Glücksschweinchen zum Vatertag und einen Magneten für die Arbeit. Dein […]“
Die Szene ist liebevoll und persönlich inszeniert, aufgenommen auf einem dunklen Holztisch.](https://bear-images.sfo2.cdn.digitaloceanspaces.com/fischr/image-20250529-143801-86a0c4fd.webp)

Ich glaube da steckt eine Brise Papa-Humor drin.",,,https://bear-images.sfo2.cdn.digitaloceanspaces.com/fischr/image-20250529-143801-86a0c4fd.webp,de,fotos,2025-05-28T22:00:00+00:00
InCzeJdmxasxpcPtRSoq,Mein Lieblings-Urlaubsfoto,mein-lieblings-urlaubsfoto,2025/05/30/mein-lieblingsurlaubsfoto-ich-habe-viele,2025-05-29T22:00:00+00:00,"[""fotos"", ""fotovorschlag""]",True,False,False,"![Eine Frau sitzt mit einem Kind, das einen Strohhut trägt, auf einer Steinplattform am Wasser.](https://bear-images.sfo2.cdn.digitaloceanspaces.com/fischr/6ec74b4a15.webp)

Ich habe [viele schöne Urlaubsbilder](https://fischr.org/categories/ganzvielurlaub/) gemacht. Doch es sind nicht die exotischen Orte, die im Herzen bleiben. Am meisten berühren mich die stillen Momente mit den Liebsten, wie dieser vom [Gardasee 2018](/gardasee-again/). [📍](https://www.openstreetmap.org/?mlat=45.7650333333333&mlon=10.8071138888889)",,,https://bear-images.sfo2.cdn.digitaloceanspaces.com/fischr/6ec74b4a15.webp,de,fotos,2025-05-29T22:00:00+00:00
mgWKsGFGCEKTZejaxBdJ,Konsum,konsum,2025/05/29/judengasse,2025-05-28T22:00:00+00:00,"[""fotos"", ""fotovorschlag""]",True,False,False,"![Ein festlich dekoriertes Schaufenster zeigt bunte Ostereier, zahlreiche Dekorationen und ein zentrales Baumornament.](https://bear-images.sfo2.cdn.digitaloceanspaces.com/fischr/kjhukshdujr84zhd872-2.webp)

Für mich der Inbegriff von *Konsum* ist der [Christmas & Easter-Store](https://www.christmas-easter-store.at) in der Salzburger Innenstadt. Aber immerhin kann man hier schöne Fotos machen. [📍](https://www.openstreetmap.org/?mlat=47.799739&mlon=13.046197)",,,https://bear-images.sfo2.cdn.digitaloceanspaces.com/fischr/kjhukshdujr84zhd872-2.webp,de,fotos,2025-05-28T22:00:00+00:00
LiZnRnIIFbjBbSyAHjbh,50 Shades of Green,50-shades-of-green,2025/05/25/fotovorschlag-shades-of-green-das,2025-05-24T22:00:00+00:00,"[""fotos"", ""fotovorschlag""]",True,True,False,"![Eine Sonnenuhr steht auf einem Stein in einer grünen Teeplantage und Hortensienblüten auf der Azoren-Insel São Miguel, während im Hintergrund das Meer sichtbar ist.](https://bear-images.sfo2.cdn.digitaloceanspaces.com/fischr/bc020942-5fce-453a-8e5c-87e39e182389-1-201-a.webp)

50 shades of green: Das Foto zeigt eine Teeplantage auf der [Azoren-Insel São Miguel](https://de.wikipedia.org/wiki/S%C3%A3o_Miguel). Aufgenommen während unseres [Urlaubs 2022](https://fischr.org/2022/09/10/azorenhoch/). [📍](https://www.openstreetmap.org/?mlat=37.816103&mlon=-25.424228)",,,https://bear-images.sfo2.cdn.digitaloceanspaces.com/fischr/bc020942-5fce-453a-8e5c-87e39e182389-1-201-a.webp,de,fotos,2025-05-24T22:00:00+00:00
HrMieFLSEfMhhUxIDeXv,Fenster im Bremer Schnoorviertel,fenster-im-bremer-schnoorviertel,2025/05/30/zum-fensterfreitag-ein-foto-des,2025-05-29T22:00:00+00:00,"[""fotos"", ""fensterfreitag""]",True,False,False,"Zum Fensterfreitag ein Foto des [Bremer Schnoorviertels](https://de.wikipedia.org/wiki/Schnoor) bei Nacht, mit soooo vielen wunderschönen Fenstern [📍](https://www.openstreetmap.org/?mlat=53.0731555555556&mlon=8.80846666666667)

![Eine charmante Kopfsteinpflasterstraße in einer abendlichen Altstadt mit beleuchteten Geschäften und dekorativen Lichtern.](https://bear-images.sfo2.cdn.digitaloceanspaces.com/fischr/2hsdgseg728jsjdh.webp)
",,,https://bear-images.sfo2.cdn.digitaloceanspaces.com/fischr/2hsdgseg728jsjdh.webp,de,fotos,2025-05-29T22:00:00+00:00
yoViCDvMwyIeCmrSzzun,Politische Kunst?,politische-kunst,2025/05/31/der-fotovorschlag-fr-politische-kunst,2025-05-30T22:00:00+00:00,"[""fotos"", ""fotovorschlag""]",True,False,False,"![Ein Graffiti zeigt eine Person, die sich übergibt, wobei die Namen verschiedener deutscher politischer Parteien aus ihrem Mund kommen.](https://bear-images.sfo2.cdn.digitaloceanspaces.com/fischr/z827468236489235fsf.webp)

Dieses Foto habe ich im [Berliner Spreebogenpark](https://de.wikipedia.org/wiki/Spreebogenpark), unweit vom Bundestag aufgenommen. Ein starkes Statement, aber wie genau ist es gemeint? Systemkritik, Satire oder einfach radikale Ablehnung aller Politikformen? [📍](https://www.openstreetmap.org/?mlat=52.5225694444444&mlon=13.3733555555556)
",,,https://bear-images.sfo2.cdn.digitaloceanspaces.com/fischr/z827468236489235fsf.webp,de,fotos,2025-05-30T22:00:00+00:00
